"sn","movie_name","rating"
1,"The dark knight","8.4"
2,"The Shashank Redemption","9.3"
3,"inception","8.8"
4,"fight club","8.8"
5,"forest gump","8.8"
6,"the matrix","8.7"
7,"interstellar","8.7"
8,"the god father","9.2"
9,"the dark knight rises","8.4"
10,"seven","8.6"
11,"gladiator","8.5"
